"year","district","light","visibility","road_condition","Fatality"
2006,"Toronto and East York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Toronto and East York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"North York","Dark","Rain","Wet","Non-Fatal Injury"
2006,"North York","Dark","Rain","Wet","Non-Fatal Injury"
2006,"Toronto and East York","Dark","Rain","Wet","Non-Fatal Injury"
2006,"Toronto and East York","Dark","Rain","Wet","Non-Fatal Injury"
2006,"Toronto and East York","Dark","Rain","Wet","Non-Fatal Injury"
2006,"Toronto and East York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Toronto and East York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Toronto and East York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Etobicoke York","Dark","Rain","Wet","Fatal"
2006,"Etobicoke York","Dark","Rain","Wet","Fatal"
2006,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"North York","Daylight","Fog","Wet","Non-Fatal Injury"
2006,"North York","Daylight","Fog","Wet","Non-Fatal Injury"
2006,"North York","Daylight","Fog","Wet","Non-Fatal Injury"
2006,"North York","Dark","Rain","Wet","Fatal"
2006,"North York","Dark","Rain","Wet","Fatal"
2006,"North York","Dark","Rain","Wet","Fatal"
2006,"North York","Dark","Rain","Wet","Fatal"
2006,"North York","Dark","Rain","Wet","Non-Fatal Injury"
2006,"North York","Dark","Rain","Wet","Non-Fatal Injury"
2006,"North York","Dark","Rain","Wet","Non-Fatal Injury"
2006,"North York","Dark","Rain","Wet","Non-Fatal Injury"
2006,"North York","Dark","Rain","Wet","Non-Fatal Injury"
2006,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Toronto and East York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Toronto and East York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"North York","Dark","Clear","Wet","Non-Fatal Injury"
2006,"North York","Dark","Clear","Wet","Non-Fatal Injury"
2006,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Scarborough","Daylight","Clear","Dry","Fatal"
2006,"Scarborough","Daylight","Clear","Dry","Fatal"
2006,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Etobicoke York","Dark","Clear","Dry","Fatal"
2006,"Etobicoke York","Dark","Clear","Dry","Fatal"
2006,"Etobicoke York","Dark","Clear","Dry","Fatal"
2006,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Toronto and East York","Daylight","Rain","Wet","Non-Fatal Injury"
2006,"Toronto and East York","Daylight","Rain","Wet","Non-Fatal Injury"
2007,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Daylight","Clear","Snow","Non-Fatal Injury"
2007,"Toronto and East York","Daylight","Clear","Snow","Non-Fatal Injury"
2007,"Scarborough","Daylight","Rain","Wet","Non-Fatal Injury"
2007,"Scarborough","Daylight","Rain","Wet","Non-Fatal Injury"
2007,"Scarborough","Daylight","Rain","Wet","Non-Fatal Injury"
2007,"Scarborough","Daylight","Rain","Wet","Non-Fatal Injury"
2007,"Scarborough","Daylight","Rain","Wet","Non-Fatal Injury"
2007,"Scarborough","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Toronto and East York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Toronto and East York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Toronto and East York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Toronto and East York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Etobicoke York","Dark","Rain","Wet","Non-Fatal Injury"
2007,"Scarborough","Dark","Clear","Wet","Non-Fatal Injury"
2007,"Scarborough","Dark","Clear","Wet","Non-Fatal Injury"
2007,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Etobicoke York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Dark","Rain","Wet","Non-Fatal Injury"
2007,"Etobicoke York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Dark","Rain","Wet","Non-Fatal Injury"
2007,"Scarborough","Dark","Rain","Wet","Non-Fatal Injury"
2006,"Etobicoke York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Scarborough","Dark","Rain","Wet","Non-Fatal Injury"
2006,"Etobicoke York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Scarborough","Dark","Rain","Wet","Non-Fatal Injury"
2006,"Etobicoke York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Etobicoke York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Scarborough","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Scarborough","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Scarborough","Daylight","Snow","Snow","Non-Fatal Injury"
2006,"Toronto and East York","Dark","Rain","Wet","Non-Fatal Injury"
2006,"Toronto and East York","Dark","Rain","Wet","Non-Fatal Injury"
2007,"Scarborough","Daylight","Snow","Snow","Non-Fatal Injury"
2007,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Etobicoke York","Daylight","Clear","Snow","Non-Fatal Injury"
2006,"North York","Dark","Rain","Wet","Fatal"
2006,"North York","Dark","Rain","Wet","Fatal"
2007,"Etobicoke York","Daylight","Clear","Snow","Non-Fatal Injury"
2007,"Etobicoke York","Daylight","Clear","Snow","Non-Fatal Injury"
2006,"North York","Dark","Rain","Wet","Fatal"
2007,"Etobicoke York","Daylight","Clear","Snow","Non-Fatal Injury"
2006,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Etobicoke York","Daylight","Clear","Snow","Non-Fatal Injury"
2006,"North York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Etobicoke York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Etobicoke York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Etobicoke York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"North York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"North York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Dark","Clear","Wet","Non-Fatal Injury"
2006,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Dark","Clear","Wet","Non-Fatal Injury"
2006,"Scarborough","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Scarborough","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Daylight","Snow","Snow","Non-Fatal Injury"
2007,"Toronto and East York","Daylight","Snow","Snow","Non-Fatal Injury"
2007,"Toronto and East York","Daylight","Snow","Snow","Non-Fatal Injury"
2006,"North York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"North York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"North York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Scarborough","Dark","Clear","Dry","Non-Fatal Injury"
2006,"North York","Dark","Rain","Wet","Non-Fatal Injury"
2006,"North York","Dark","Rain","Wet","Non-Fatal Injury"
2006,"Scarborough","Dark","Clear","Dry","Non-Fatal Injury"
2006,"North York","Dark","Rain","Wet","Non-Fatal Injury"
2006,"North York","Dark","Clear","Wet","Non-Fatal Injury"
2006,"North York","Dark","Clear","Wet","Non-Fatal Injury"
2006,"Etobicoke York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Etobicoke York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Etobicoke York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Etobicoke York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Etobicoke York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Etobicoke York","Dark","Clear","Wet","Fatal"
2006,"Etobicoke York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Scarborough","Dark","Rain","Wet","Non-Fatal Injury"
2006,"Scarborough","Dark","Rain","Wet","Non-Fatal Injury"
2007,"Etobicoke York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Etobicoke York","Dark","Clear","Wet","Fatal"
2007,"Etobicoke York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Etobicoke York","Dark","Clear","Wet","Fatal"
2007,"Toronto and East York","Daylight","Clear","Wet","Fatal"
2006,"Etobicoke York","Dark","Rain","Wet","Non-Fatal Injury"
2006,"Etobicoke York","Dark","Rain","Wet","Non-Fatal Injury"
2006,"Etobicoke York","Dark","Clear","Wet","Fatal"
2007,"Toronto and East York","Daylight","Clear","Wet","Fatal"
2006,"Etobicoke York","Dark","Clear","Wet","Fatal"
2006,"Etobicoke York","Dark","Clear","Wet","Fatal"
2007,"Toronto and East York","Daylight","Clear","Wet","Fatal"
2007,"Etobicoke York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Etobicoke York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Etobicoke York","Dark","Rain","Wet","Non-Fatal Injury"
2006,"Etobicoke York","Dark","Rain","Wet","Non-Fatal Injury"
2006,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Scarborough","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Scarborough","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Etobicoke York","Dark","Rain","Wet","Non-Fatal Injury"
2007,"Etobicoke York","Dark","Rain","Wet","Non-Fatal Injury"
2007,"Toronto and East York","Dark","Rain","Wet","Non-Fatal Injury"
2007,"Toronto and East York","Dark","Rain","Wet","Non-Fatal Injury"
2007,"Scarborough","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Scarborough","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Scarborough","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Scarborough","Dark","Rain","Wet","Non-Fatal Injury"
2007,"North York","Dark","Clear","Dry","Fatal"
2007,"Toronto and East York","Dark","Snow","Ice","Non-Fatal Injury"
2007,"North York","Dark","Clear","Dry","Fatal"
2006,"Scarborough","Dark","Rain","Wet","Non-Fatal Injury"
2006,"Scarborough","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"North York","Dark","Clear","Dry","Fatal"
2006,"Toronto and East York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Toronto and East York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Etobicoke York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Etobicoke York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Etobicoke York","Dark","Clear","Dry","Non-Fatal Injury"
2006,"Etobicoke York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Scarborough","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Scarborough","Daylight","Clear","Dry","Non-Fatal Injury"
2006,"Scarborough","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Daylight","Clear","Wet","Non-Fatal Injury"
2007,"Toronto and East York","Daylight","Clear","Wet","Non-Fatal Injury"
2007,"Toronto and East York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Scarborough","Daylight","Snow","Snow","Fatal"
2007,"Scarborough","Daylight","Snow","Snow","Fatal"
2007,"Scarborough","Daylight","Snow","Snow","Fatal"
2007,"North York","Dark","Snow","Snow","Non-Fatal Injury"
2007,"North York","Dark","Snow","Snow","Non-Fatal Injury"
2007,"North York","Dark","Snow","Snow","Non-Fatal Injury"
2007,"North York","Dark","Snow","Snow","Non-Fatal Injury"
2007,"Etobicoke York","Daylight","Snow","Snow","Non-Fatal Injury"
2007,"Etobicoke York","Daylight","Snow","Snow","Non-Fatal Injury"
2007,"Etobicoke York","Dark","Snow","Snow","Non-Fatal Injury"
2007,"Etobicoke York","Dark","Snow","Snow","Non-Fatal Injury"
2007,"Etobicoke York","Dark","Snow","Snow","Non-Fatal Injury"
2007,"Toronto and East York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Daylight","Clear","Wet","Non-Fatal Injury"
2007,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Dark","Clear","Wet","Non-Fatal Injury"
2007,"Toronto and East York","Dark","Clear","Wet","Non-Fatal Injury"
2007,"Toronto and East York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"North York","Dark","Clear","Dry","Fatal"
2007,"North York","Dark","Clear","Dry","Fatal"
2007,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Scarborough","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Scarborough","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Dark","Clear","Dry","Non-Fatal Injury"
2008,"North York","Daylight","Snow","Snow","Non-Fatal Injury"
2008,"North York","Daylight","Snow","Snow","Non-Fatal Injury"
2008,"North York","Daylight","Clear","Dry","Non-Fatal Injury"
2008,"North York","Daylight","Clear","Dry","Non-Fatal Injury"
2008,"Scarborough","Dark","Rain","Wet","Fatal"
2008,"Scarborough","Dark","Rain","Wet","Fatal"
2008,"Etobicoke York","Dark","Clear","Wet","Fatal"
2008,"Etobicoke York","Dark","Clear","Wet","Fatal"
2008,"North York","Dark","Clear","Wet","Fatal"
2008,"North York","Dark","Clear","Wet","Fatal"
2008,"Etobicoke York","Dark","Clear","Dry","Fatal"
2008,"Etobicoke York","Dark","Clear","Dry","Fatal"
2008,"Etobicoke York","Dark","Clear","Dry","Fatal"
2008,"North York","Daylight","Clear","Dry","Non-Fatal Injury"
2008,"North York","Daylight","Clear","Dry","Non-Fatal Injury"
2008,"Etobicoke York","Dusk","Snow","Snow","Non-Fatal Injury"
2008,"Etobicoke York","Dusk","Snow","Snow","Non-Fatal Injury"
2008,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2008,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2008,"North York","Dark","Snow","Wet","Non-Fatal Injury"
2007,"Toronto and East York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Scarborough","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Scarborough","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Scarborough","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Scarborough","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Scarborough","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Scarborough","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Dusk","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Dusk","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Daylight","Rain","Wet","Non-Fatal Injury"
2007,"Toronto and East York","Daylight","Rain","Wet","Non-Fatal Injury"
2007,"Toronto and East York","Daylight","Rain","Wet","Non-Fatal Injury"
2007,"Toronto and East York","Dark","Rain","Wet","Non-Fatal Injury"
2007,"Toronto and East York","Dark","Rain","Wet","Non-Fatal Injury"
2007,"Scarborough","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Scarborough","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"North York","Daylight","Clear","Wet","Fatal"
2007,"North York","Daylight","Clear","Wet","Fatal"
2007,"North York","Daylight","Clear","Wet","Fatal"
2007,"Etobicoke York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"North York","Daylight","Clear","Wet","Fatal"
2007,"Etobicoke York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Dark","Clear","Wet","Non-Fatal Injury"
2007,"Toronto and East York","Dark","Clear","Wet","Non-Fatal Injury"
2007,"Toronto and East York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Daylight","Clear","Ice","Non-Fatal Injury"
2007,"Toronto and East York","Daylight","Clear","Ice","Non-Fatal Injury"
2007,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"North York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"North York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"North York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Scarborough","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Scarborough","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Scarborough","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Scarborough","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Scarborough","Dark","Clear","Dry","Non-Fatal Injury"
2007,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Scarborough","Dark","Rain","Wet","Non-Fatal Injury"
2007,"Scarborough","Dark","Rain","Wet","Non-Fatal Injury"
2007,"Toronto and East York","Dark","Rain","Wet","Non-Fatal Injury"
2007,"Toronto and East York","Dark","Rain","Wet","Non-Fatal Injury"
2007,"Toronto and East York","Dark","Rain","Wet","Non-Fatal Injury"
2007,"North York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"North York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Etobicoke York","Dark","Rain","Wet","Non-Fatal Injury"
2007,"Etobicoke York","Daylight","Strong wind","Wet","Non-Fatal Injury"
2007,"Etobicoke York","Daylight","Strong wind","Wet","Non-Fatal Injury"
2007,"Etobicoke York","Dark","Rain","Wet","Non-Fatal Injury"
2007,"Etobicoke York","Daylight","Strong wind","Wet","Non-Fatal Injury"
2007,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Dark","Clear","Dry","Fatal"
2007,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Toronto and East York","Dark","Clear","Dry","Fatal"
2007,"Toronto and East York","Daylight","Clear","Dry","Non-Fatal Injury"
2007,"Etobicoke York","Dark","Clear","Wet","Non-Fatal Injury"
2007,"Etobicoke York","Dark","Clear","Wet","Non-Fatal Injury"
2007,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
2008,"North York","Dark","Snow","Wet","Non-Fatal Injury"
2008,"Toronto and East York","Dark","Clear","Dry","Non-Fatal Injury"
2008,"North York","Dark","Snow","Wet","Non-Fatal Injury"
2008,"North York","Dark","Clear","Dry","Non-Fatal Injury"
2008,"Etobicoke York","Daylight","Clear","Dry","Non-Fatal Injury"
